ITS2 type profile UID		28699	28764	29177	29179	29181	28952	29067	29233	29361	29176	29883	29006	28916
Clade		A	B	C	C	C	C	C	C	C	C	C	C	C
Majority ITS2 sequence		A4/A4a	B18b	C3	C3/C3dm	C3/C3cd	C21	C3	C3cd/C3	C3cd	C3	C3dm	C1	C3
Associated species		S. linucheae	None	None	None	None	None	None	None	None	None	None	S. goreaui	None
ITS2 type abundance local		1	1	193	19	18	4	3	3	3	3	2	2	2
ITS2 type abundance DB		5	1	193	19	18	28	27	3	3	3	2	15	80
ITS2 type profile		A4/A4a	B18b	C3-C3de-C3bb-C21ae-C3an-C3s-C3dk	C3/C3dm-C3de-C3bb-C21ae-C3cd-C3an-C3s-C3dk	C3/C3cd-C3de-C3dn-C3bb-C21ae-C3an	C21	C3-C3b	C3cd/C3-C3dn	C3cd	C3-C3de-C3an-C3bb-C21ae-C3s	C3dm	C1-C21	C3
48014	CBC_189	0.000	0.000	0.972	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48022	CBC_197	0.000	0.000	0.971	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47847	CBC_022	0.000	0.000	0.935	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48016	CBC_191	0.000	0.000	0.932	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47971	CBC_146	0.000	0.000	0.931	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48056	CBC_231	0.000	0.000	0.929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48033	CBC_208	0.000	0.000	0.929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48011	CBC_186	0.000	0.000	0.929	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48041	CBC_216	0.000	0.000	0.928	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48036	CBC_211	0.000	0.000	0.926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47952	CBC_127	0.000	0.000	0.925	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47834	CBC_009	0.000	0.000	0.925	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48043	CBC_218	0.000	0.000	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48037	CBC_212	0.000	0.000	0.922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47956	CBC_131	0.000	0.000	0.922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47828	CBC_003	0.000	0.000	0.922	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48040	CBC_215	0.000	0.000	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48025	CBC_200	0.000	0.000	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47892	CBC_067	0.000	0.000	0.920	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48042	CBC_217	0.000	0.000	0.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47841	CBC_016	0.000	0.000	0.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48046	CBC_221	0.000	0.000	0.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48015	CBC_190	0.000	0.000	0.918	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48032	CBC_207	0.000	0.000	0.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47950	CBC_125	0.000	0.000	0.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47932	CBC_107	0.000	0.000	0.917	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48053	CBC_228	0.000	0.000	0.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48039	CBC_214	0.000	0.000	0.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47829	CBC_004	0.000	0.000	0.916	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48049	CBC_224	0.000	0.000	0.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47842	CBC_017	0.000	0.000	0.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47839	CBC_014	0.000	0.000	0.915	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47843	CBC_018	0.000	0.000	0.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47953	CBC_128	0.000	0.000	0.913	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47949	CBC_124	0.000	0.000	0.913	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47872	CBC_047	0.000	0.000	0.913	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48052	CBC_227	0.000	0.000	0.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48044	CBC_219	0.000	0.000	0.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48034	CBC_209	0.000	0.000	0.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47962	CBC_137	0.000	0.000	0.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47832	CBC_007	0.000	0.000	0.912	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
48038	CBC_213	0.000	0.000	0.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47989	CBC_164	0.000	0.000	0.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47964	CBC_139	0.000	0.000	0.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47960	CBC_135	0.000	0.000	0.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
47931	CBC_106	0.000	0.000	0.911	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
