Sample, MC29, MC41, MC49, MC46, MC65, MC97, MC4, MC18, MC114
MCAV_71,"05,06","03,06","01,01","03,04","03,03","02,05","19,34","02,02","05,09"
MCAV_72,"06,07","06,06","01,07","03,03","03,03","03,06","05,05","04,04","08,09"
MCAV_73,"01,05","05,05","02,14","03,03","03,03","06,06","07,33","06,08","10,10"
MCAV_74,"05,06","05,06","02,07","03,03","03,04","03,05","12,19","02,02","09,11"
MCAV_75,"03,03","06,09","07,14","03,03","02,05","05,05","10,24","03,03","09,12"
MCAV_76,"04,05","02,06","14,14","03,06","04,05","04,05","41,41","02,03","03,03"
MCAV_77,"05,05","02,02","14,14","03,04","03,03","02,05","07,44","07,12","06,12"
MCAV_78,"05,05","03,05","16,17","03,03","03,03","03,06","11,15","03,05","07,10"
MCAV_79,"05,06","06,06","14,14","03,06","02,04","03,04","06,24","04,05","10,17"
MCAV_80*,"01,06","02,05","13,15","03,03","03,03","03,05","99,99","08,09","15,15"
MCAV_81,"03,04","05,06","14,14","03,03","03,03","04,06","06,17","02,05","18,18"
MCAV_82,"01,05","02,06","04,11","04,04","03,04","05,06","13,21","06,07","09,11"
MCAV_83,"06,07","02,05","14,14","03,04","03,03","05,06","15,15","05,06","11,15"
MCAV_84,"02,06","03,05","14,14","03,03","02,03","04,05","99,99","99,99","99,99"
MCAV_85,"05,08","05,05","14,14","03,03","04,04","05,06","15,23","03,06","04,13"
MCAV_86,"06,09","05,05","04,14","03,05","03,04","03,06","06,19","04,04","09,09"
MCAV_87,"05,05","01,08","14,14","03,03","04,05","02,06","12,19","04,07","07,12"
MCAV_88,"05,06","05,06","14,15","03,03","02,04","06,06","12,15","02,05","11,12"
MCAV_89,"05,06","03,06","13,14","03,03","02,03","03,05","17,27","06,12","13,13"
MCAV_90,"06,06","03,06","14,15","03,03","03,04","03,05","13,23","03,10","11,11"
MCAV_91,"05,06","03,05","04,14","03,06","03,04","05,06","08,23","04,06","07,10"
MCAV_92,"06,06","02,09","04,14","03,04","03,04","05,06","15,21","04,05","10,11"
MCAV_93,"05,06","05,05","13,14","03,03","03,03","05,06","14,42","02,10","03,14"
MCAV_94,"04,04","06,06","02,02","03,03","03,03","04,05","99,99","03,05","10,13"
MCAV_95,"04,05","02,03","14,14","03,06","03,03","03,05","17,19","05,07","07,09"
MCAV_96,"06,06","05,05","14,15","01,03","03,03","02,05","08,31","03,08","09,09"
MCAV_97,"04,06","02,06","01,02","03,03","04,04","03,05","99,99","02,10","08,09"
MCAV_98*,"06,06","03,05","14,14","03,04","03,03","04,06","99,99","06,11","05,09"
MCAV_99,"04,04","03,05","12,14","03,03","02,04","05,06","15,26","02,06","09,10"
MCAV_100,"06,06","05,05","10,14","03,04","03,03","04,05","06,22","05,09","08,10"
MCAV_101,"05,08","06,06","14,14","03,03","03,03","05,06","19,26","03,03","11,11"
MCAV_102,"05,06","03,05","02,14","03,03","03,03","05,06","15,23","02,03","04,11"
MCAV_103,"05,05","05,06","13,14","03,03","02,03","05,05","17,19","03,04","09,12"
MCAV_104*,"05,06","02,06","13,13","04,04","02,05","05,06","07,07","04,05","05,07"
MCAV_105,"04,06","03,05","14,14","03,03","03,03","05,05","08,29","04,05","09,11"
